Pa°s,data science,machine learning,deep learning,
Santa Elena,100,100,52,
India,99,77,25,
Ruanda,,,,
Lesoto,,,,
Singapur,91,79,52,
Zimbabue,,,,
Botsuana,,,,
Nepal,77,49,,
Nigeria,72,25,8,
Etiop°a,,,,
Ghana,60,,,
Kenia,60,27,,
Pakist†n,56,38,17,
Malaui,,,,
Uganda,,,,
Hong Kong,48,49,39,
Estados Unidos,48,30,15,
Camer£n,,,,
Sud†frica,42,21,9,
Australia,38,22,12,
BangladÇs,37,39,15,
Zambia,,,,
Sri Lanka,36,36,12,
Emiratos ?rabes Unidos,36,20,9,
Mauricio,,,,
Irlanda,35,31,13,
Filipinas,34,14,6,
Canad†,32,28,15,
Namibia,,,,
Somalia,,,,
Reino Unido,30,22,10,
Malasia,30,20,12,
Myanmar (Birmania),,,,
L°bano,,,,
Jamaica,,,,
Catar,,,,
Suiza,28,32,20,
Tanzania,,,,
Pa°ses Bajos,27,20,11,
T£nez,27,27,22,
Senegal,,,,
Corea del Sur,25,58,100,
Nueva Zelanda,25,20,10,
Trinidad y Tobago,,,,
Chipre,,,,
Cìte d?Ivoire,,,,
Laos,,,,
Luxemburgo,,,,
Madagascar,,,,
Afganist†n,,,,
Armenia,,,,
Om†n,,,,
Macao,,,,
Israel,20,35,31,
BarÇin,,,,
Islandia,,,,
Mongolia,,,,
Portugal,17,18,8,
Grecia,17,17,8,
Macedonia del Norte,,,,
Serbia,16,12,5,
BrunÇi,,,,
Dinamarca,15,23,10,
Austria,15,16,11,
Alemania,15,18,13,
Noruega,15,24,13,
Marruecos,14,13,9,
BÇlgica,14,15,10,
Egipto,14,16,9,
Kuwait,,,,
Tailandia,13,10,5,
Puerto Rico,,,,
Sud†n,,,,
Nueva Caledonia,,,,
Kosovo,,,,
Taiw†n,13,26,34,
Azerbaiy†n,,,,
Jordania,,,,
Estonia,,,,
Albania,,,,
Finlandia,12,20,10,
Suecia,12,23,13,
Ir†n,12,17,15,
Arabia Saud°,12,9,5,
Chile,11,10,4,
Kazajist†n,,,,
Francia,11,12,10,
Angola,,,,
Costa Rica,,,,
Indonesia,10,8,4,
Croacia,,13,6,
Palestina,,,,
Camboya,,,,
China,10,27,36,
Espa§a,10,11,6,
Bielorrusia,,,,
Uruguay,,,,
Italia,9,10,5,
Eslovenia,,,,
Vietnam,9,13,7,
Brasil,9,7,3,
Rusia,9,8,5,
Ucrania,9,7,3,
Lituania,,,,
Panam†,,,,
Per£,8,10,3,
Chequia,8,13,7,
Kirguist†n,,,,
Polonia,8,8,5,
Uzbekist†n,,,,
Georgia,,,,
Hungr°a,8,8,7,
Letonia,,,,
Honduras,,,,
Guatemala,,,,
Bosnia y Herzegovina,,,,
Bulgaria,,9,,
Colombia,7,10,4,
Argelia,,9,9,
Bolivia,,,,
MÇxico,6,6,2,
El Salvador,,,,
Siria,,,,
Argentina,6,6,2,
Ruman°a,6,11,5,
Rep£blica Dominicana,,,,
Ecuador,,,,
Moldavia,,,,
Eslovaquia,,,,
Paraguay,,,,
Turqu°a,4,6,5,
Irak,,,,
Jap¢n,3,6,16,
Venezuela,,,,
Corea del Norte,,,,
Kiribati,,,,
Samoa Americana,,,,
Eritrea,,,,
Montserrat,,,,
Esuatini,,,,
Palaos,,,,
Gambia,,,,
Micronesia,,,,
Islas Marshall,,,,
But†n,,,,
Islas Salom¢n,,,,
Islas V°rgenes de EE. UU.,,,,
Antigua y Barbuda,,,,
San Crist¢bal y Nieves,,,,
Islas Marianas del Norte,,,,
Liechtenstein,,,,
Santo TomÇ y Pr°ncipe,,,,
Samoa,,,,
Groenlandia,,,,
Guyana,,,,
Ben°n,,,,
Pap£a Nueva Guinea,,,,
Liberia,,,,
Belice,,,,
Anguila,,,,
Islas V°rgenes Brit†nicas,,,,
Tonga,,,,
Gibraltar,,,,
Burundi,,,,
San Vicente y las Granadinas,,,,
Guinea-Bis†u,,,,
Granada,,,,
Vanuatu,,,,
Sud†n del Sur,,,,
Barbados,,,,
Guam,,,,
Sint Maarten,,,,
Congo,,,,
S†hara Occidental,,,,
Islas Caim†n,,,,
Malta,,,,
Islas Turcas y Caicos,,,,
Sierra Leona,,,,
Togo,,,,
Caribe neerlandÇs,,,,
Bermudas,,,,
San Mart°n,,,,
N°ger,,,,
Isla de Man,,,,
Fiyi,,,,
Aruba,,,,
Santa Luc°a,,,,
Maldivas,,,,
San Marino,,,,
Guernsey,,,,
Cuba,,,,
Yibuti,,,,
Hait°,,,,
San BartolomÇ,,,,
Jersey,,,,
Guinea Ecuatorial,,,,
Gab¢n,,,,
Chad,,,,
Curazao,,,,
Bahamas,,,,
Rep£blica Democr†tica del Congo,,,,
Seychelles,,,,
Mozambique,,,,
Burkina Faso,,,,
Dominica,,,,
Surinam,,,,
Islas Feroe,,,,
Montenegro,,,,
Cabo Verde,,,,
Guinea,,,,
Mali,,,,
Timor-Leste,,,,
Andorra,,,,
Turkmenist†n,,,,
Libia,,,,
M¢naco,,,,
Tayikist†n,,,,
Nicaragua,,,,
Polinesia Francesa,,,,
Mauritania,,,,
Guayana Francesa,,,,
Yemen,,,,
Martinica,,,,
Guadalupe,,,,
Reuni¢n,,,,
Islas èland,,,,
Ant†rtida,,,,
Territorios Australes Franceses,,,,
Isla Bouvet,,,,
Rep£blica Centroafricana,,,,
Islas Cocos,,,,
Islas Cook,,,,
Comoras,,,,
Isla de Navidad,,,,
Islas Malvinas (Islas Falkland),,,,
Islas Heard y McDonald,,,,
Territorio Brit†nico del OcÇano ?ndico,,,,
Mayotte,,,,
Isla Norfolk,,,,
Niue,,,,
Nauru,,,,
Islas Pitcairn,,,,
Islas Georgia del Sur y Sandwich del Sur,,,,
Svalbard y Jan Mayen,,,,
San Pedro y Miquel¢n,,,,
Tokelau,,,,
Tuvalu,,,,
Islas menores alejadas de EE. UU.,,,,
Ciudad del Vaticano,,,,
Wallis y Futuna,,,,
